id,name,semantic_name,description,alt_text,category_slug,category,source_slide,slide_order,primary_use_group,use_groups,tags,png_512
energy-oil-gas-001,Oil Barrel Drop,oil-barrel-drop,"Oil barrel with a single oil drop, representing crude oil storage or petroleum resources.",Oil barrel with a single oil drop.,energy-oil-gas,"Energy, Oil & Gas",1,1,analytics-reporting,analytics-reporting;digital-it-security;industrial-equipment;oil-gas-energy,a;analytics-reporting;barrel;crude;digital-it-security;drop;energy-oil-gas;industrial-equipment;oil;oil-barrel-drop;oil-gas-energy;or;petroleum;representing;resources;single;storage;with,png/512/energy-oil-gas/energy-oil-gas-001.png
energy-oil-gas-002,Pumpjack Oil Well,pumpjack-oil-well,"Pumpjack oil well, representing land drilling, oil extraction, or production operations.",Pumpjack oil well.,energy-oil-gas,"Energy, Oil & Gas",1,2,drilling-rigs-wells,drilling-rigs-wells;industrial-equipment;oil-gas-energy,drilling;drilling-rigs-wells;energy-oil-gas;extraction;industrial-equipment;land;oil;oil-gas-energy;operations;or;production;pumpjack;pumpjack-oil-well;representing;well,png/512/energy-oil-gas/energy-oil-gas-002.png
energy-oil-gas-003,Fuel Can Oil,fuel-can-oil,"Fuel can with oil drop, representing fuel supply, petroleum products, or field refueling.",Fuel can with oil drop.,energy-oil-gas,"Energy, Oil & Gas",1,3,digital-it-security,digital-it-security;oil-gas-energy,can;digital-it-security;drop;energy-oil-gas;field;fuel;fuel-can-oil;oil;oil-gas-energy;or;petroleum;products;refueling;representing;supply;with,png/512/energy-oil-gas/energy-oil-gas-003.png
energy-oil-gas-004,Chemical Lab Vessels,chemical-lab-vessels,"Laboratory flask and cylinder, representing chemical testing, fluid analysis, or lab operations.",Laboratory flask and cylinder.,energy-oil-gas,"Energy, Oil & Gas",1,4,analytics-reporting,analytics-reporting;design-creative-assets;industrial-equipment;learning-education;logistics-transport;offshore-marine;oil-gas-energy,analysis;analytics-reporting;and;chemical;chemical-lab-vessels;cylinder;design-creative-assets;energy-oil-gas;flask;fluid;industrial-equipment;lab;laboratory;learning-education;logistics-transport;offshore-marine;oil-gas-energy;operations;or;representing;testing,png/512/energy-oil-gas/energy-oil-gas-004.png
energy-oil-gas-005,Clean Energy Idea,clean-energy-idea,"Light bulb growing from leaves, representing energy innovation, sustainability, or environmental ideas.",Light bulb growing from leaves.,energy-oil-gas,"Energy, Oil & Gas",1,5,digital-it-security,digital-it-security;innovation-growth;oil-gas-energy;sustainability-environment,bulb;clean-energy-idea;digital-it-security;energy;energy-oil-gas;environmental;from;growing;ideas;innovation;innovation-growth;leaves;light;oil-gas-energy;or;representing;sustainability;sustainability-environment,png/512/energy-oil-gas/energy-oil-gas-005.png
energy-oil-gas-006,Oil And Gas Worker,oil-and-gas-worker,"Worker wearing a safety helmet, representing field operators or oil and gas personnel.",Worker wearing a safety helmet.,energy-oil-gas,"Energy, Oil & Gas",1,6,oil-gas-energy,oil-gas-energy;people-hr-workforce;safety-hse,a;and;energy-oil-gas;field;gas;helmet;oil;oil-and-gas-worker;oil-gas-energy;operators;or;people-hr-workforce;personnel;representing;safety;safety-hse;wearing;worker,png/512/energy-oil-gas/energy-oil-gas-006.png
energy-oil-gas-007,Laboratory Flask,laboratory-flask,"Chemistry flask with liquid, representing testing, analysis, or laboratory research.",Chemistry flask with liquid.,energy-oil-gas,"Energy, Oil & Gas",1,7,analytics-reporting,analytics-reporting;design-creative-assets;digital-it-security;learning-education;oil-gas-energy,analysis;analytics-reporting;chemistry;design-creative-assets;digital-it-security;energy-oil-gas;flask;laboratory;laboratory-flask;learning-education;liquid;oil-gas-energy;or;representing;research;testing;with,png/512/energy-oil-gas/energy-oil-gas-007.png
energy-oil-gas-008,Cash And Banknote,cash-and-banknote,"Cash banknote, representing cost, finance, revenue, or commercial value.",Cash banknote.,energy-oil-gas,"Energy, Oil & Gas",1,8,business-finance,business-finance;oil-gas-energy,banknote;business-finance;cash;cash-and-banknote;commercial;cost;energy-oil-gas;finance;oil-gas-energy;or;representing;revenue;value,png/512/energy-oil-gas/energy-oil-gas-008.png
energy-oil-gas-009,Oil Drums,oil-drums,"Two oil drums, representing petroleum storage, fuel inventory, or industrial materials.",Two oil drums.,energy-oil-gas,"Energy, Oil & Gas",1,9,industrial-equipment,industrial-equipment;oil-gas-energy,drums;energy-oil-gas;fuel;industrial;industrial-equipment;inventory;materials;oil;oil-drums;oil-gas-energy;or;petroleum;representing;storage;two,png/512/energy-oil-gas/energy-oil-gas-009.png
energy-oil-gas-010,Partnership Handshake,partnership-handshake,"Handshake, representing partnership, vendor relationship, collaboration, or agreement.",Handshake.,energy-oil-gas,"Energy, Oil & Gas",1,10,design-creative-assets,design-creative-assets;learning-education;logistics-transport;offshore-marine;oil-gas-energy,agreement;collaboration;design-creative-assets;energy-oil-gas;handshake;learning-education;logistics-transport;offshore-marine;oil-gas-energy;or;partnership;partnership-handshake;relationship;representing;vendor,png/512/energy-oil-gas/energy-oil-gas-010.png
energy-oil-gas-011,Declining Production Chart,declining-production-chart,"Downward trend chart, representing decline, cost reduction, losses, or falling production.",Downward trend chart.,energy-oil-gas,"Energy, Oil & Gas",1,11,analytics-reporting,analytics-reporting;design-creative-assets;oil-gas-energy,analytics-reporting;chart;cost;decline;declining-production-chart;design-creative-assets;downward;energy-oil-gas;falling;losses;oil-gas-energy;or;production;reduction;representing;trend,png/512/energy-oil-gas/energy-oil-gas-011.png
energy-oil-gas-012,Document Report,document-report,"Document page, representing reports, records, procedures, or documentation.",Document page.,energy-oil-gas,"Energy, Oil & Gas",1,12,analytics-reporting,analytics-reporting;documents-files-records;oil-gas-energy,analytics-reporting;document;document-report;documentation;documents-files-records;energy-oil-gas;oil-gas-energy;or;page;procedures;records;reports;representing,png/512/energy-oil-gas/energy-oil-gas-012.png
energy-oil-gas-013,Industrial Burner Nozzle,industrial-burner-nozzle,"Industrial torch or burner nozzle, representing gas, heat, combustion, or process equipment.",Industrial torch or burner nozzle.,energy-oil-gas,"Energy, Oil & Gas",1,13,design-creative-assets,design-creative-assets;industrial-equipment;logistics-transport;oil-gas-energy,burner;combustion;design-creative-assets;energy-oil-gas;equipment;gas;heat;industrial;industrial-burner-nozzle;industrial-equipment;logistics-transport;nozzle;oil-gas-energy;or;process;representing;torch,png/512/energy-oil-gas/energy-oil-gas-013.png
energy-oil-gas-014,Sustainability Hand Plant,sustainability-hand-plant,"Hand holding a growing plant, representing sustainability, environmental responsibility, or growth.",Hand holding a growing plant.,energy-oil-gas,"Energy, Oil & Gas",1,14,digital-it-security,digital-it-security;industrial-equipment;innovation-growth;oil-gas-energy;sustainability-environment,a;digital-it-security;energy-oil-gas;environmental;growing;growth;hand;holding;industrial-equipment;innovation-growth;oil-gas-energy;or;plant;representing;responsibility;sustainability;sustainability-environment;sustainability-hand-plant,png/512/energy-oil-gas/energy-oil-gas-014.png
energy-oil-gas-015,Currency Exchange Cycle,currency-exchange-cycle,"Currency exchange symbols in a cycle, representing financial exchange, pricing, or market movement.",Currency exchange symbols in a cycle.,energy-oil-gas,"Energy, Oil & Gas",1,15,business-finance,business-finance;oil-gas-energy,a;business-finance;currency;currency-exchange-cycle;cycle;energy-oil-gas;exchange;financial;in;market;movement;oil-gas-energy;or;pricing;representing;symbols,png/512/energy-oil-gas/energy-oil-gas-015.png
energy-oil-gas-016,Climate Temperature Globe,climate-temperature-globe,"Globe with thermometer, representing climate impact, emissions, environment, or temperature monitoring.",Globe with thermometer.,energy-oil-gas,"Energy, Oil & Gas",1,16,digital-it-security,digital-it-security;oil-gas-energy;sustainability-environment,climate;climate-temperature-globe;digital-it-security;emissions;energy-oil-gas;environment;globe;impact;monitoring;oil-gas-energy;or;representing;sustainability-environment;temperature;thermometer;with,png/512/energy-oil-gas/energy-oil-gas-016.png
energy-oil-gas-017,Refinery Factory,refinery-factory,"Industrial refinery building, representing processing facilities, plants, or production sites.",Industrial refinery building.,energy-oil-gas,"Energy, Oil & Gas",1,17,design-creative-assets,design-creative-assets;digital-it-security;facilities-workplace;industrial-equipment;oil-gas-energy;sustainability-environment,building;design-creative-assets;digital-it-security;energy-oil-gas;facilities;facilities-workplace;industrial;industrial-equipment;oil-gas-energy;or;plants;processing;production;refinery;refinery-factory;representing;sites;sustainability-environment,png/512/energy-oil-gas/energy-oil-gas-017.png
energy-oil-gas-018,Industrial Faucet Spray,industrial-faucet-spray,"Industrial faucet spraying liquid, representing fluid flow, water, chemicals, or process handling.",Industrial faucet spraying liquid.,energy-oil-gas,"Energy, Oil & Gas",1,18,design-creative-assets,design-creative-assets;industrial-equipment;offshore-marine;oil-gas-energy,chemicals;design-creative-assets;energy-oil-gas;faucet;flow;fluid;handling;industrial;industrial-equipment;industrial-faucet-spray;liquid;offshore-marine;oil-gas-energy;or;process;representing;spraying;water,png/512/energy-oil-gas/energy-oil-gas-018.png
energy-oil-gas-019,Flame Energy,flame-energy,"Flame icon, representing gas, fire, combustion, energy, or heat.",Flame icon.,energy-oil-gas,"Energy, Oil & Gas",1,19,logistics-transport,logistics-transport;oil-gas-energy;safety-hse,combustion;energy;energy-oil-gas;fire;flame;flame-energy;gas;heat;icon;logistics-transport;oil-gas-energy;or;representing;safety-hse,png/512/energy-oil-gas/energy-oil-gas-019.png
